Start training!
Training finished!
         47729690 function calls (45548423 primitive calls) in 69.398 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:155(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:172(BoxBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:196(UnsharpMask)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:20(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:222(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:235(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:24(MultibandFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:246(DETAIL)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:257(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:268(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:279(EMBOSS)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:28(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:290(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:301(SHARPEN)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:312(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:323(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:336(Color3DLUT)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:36(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:67(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:92(MedianFilter)
        1    0.000    0.000    0.000    0.000 ImageFont.py:185(FreeTypeFont)
        1    0.000    0.000    0.000    0.000 ImageFont.py:28(<module>)
        1    0.000    0.000    0.000    0.000 ImageFont.py:39(Layout)
        1    0.000    0.000    0.000    0.000 ImageFont.py:672(TransposedFont)
        1    0.000    0.000    0.000    0.000 ImageFont.py:77(ImageFont)
        1    0.000    0.000    0.000    0.000 ImageMode.py:16(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
       33    0.000    0.000    0.000    0.000 ImageMode.py:25(__init__)
    16896    0.004    0.000    0.004    0.000 ImageMode.py:36(getmode)
        1    0.000    0.000    0.000    0.000 ImageOps.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:24(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 ImageStat.py:24(<module>)
        1    0.000    0.000    0.000    0.000 ImageStat.py:29(Stat)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:345(JpegImageFile)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
      264    0.001    0.000    0.003    0.000 PngImagePlugin.py:1054(putchunk)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1065(_idat)
       44    0.000    0.000    0.000    0.000 PngImagePlugin.py:1068(__init__)
       88    0.000    0.000    0.003    0.000 PngImagePlugin.py:1072(write)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1076(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:119(Blend)
       44    0.001    0.000    0.563    0.013 PngImagePlugin.py:1221(_save)
    68112    0.016    0.000    0.028    0.000 PngImagePlugin.py:142(_crc32)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:150(ChunkStream)
